TIME,BIKE_USAGE
2018-08-01,2570.75
2018-08-02,3499.583333333333
2018-08-03,3236.0
2018-08-04,2096.9166666666665
2018-08-05,1903.0833333333333
2018-08-06,1877.0
2018-08-07,3221.4166666666665
2018-08-08,3642.6666666666665
2018-08-09,3574.833333333333
2018-08-10,3509.5
2018-08-11,2131.25
2018-08-12,1840.8333333333333
2018-08-13,3421.9166666666665
2018-08-14,3482.333333333333
2018-08-15,3461.1666666666665
2018-08-16,3383.333333333333
2018-08-17,3231.25
2018-08-18,2233.25
2018-08-19,1918.9166666666667
2018-08-20,3184.75
2018-08-21,3461.5547785547783
2018-08-22,3480.333333333333
2018-08-23,3496.608391608392
2018-08-24,3290.0
2018-08-25,1630.6666666666663
2018-08-26,1732.8333333333337
2018-08-27,3483.833333333333
2018-08-28,3505.833333333333
2018-08-29,3615.1666666666665
2018-08-30,3571.75
2018-08-31,3419.240909090909
2018-09-01,2034.5984848484848
2018-09-02,1938.3257575757573
2018-09-03,3276.9772727272725
2018-09-04,3514.7954545454545
2018-09-05,3543.962121212121
2018-09-06,3229.186363636364
2018-09-07,3528.75
2018-09-08,1965.5833333333333
2018-09-09,2027.9166666666663
2018-09-10,3389.083333333333
2018-09-11,3624.583333333333
2018-09-12,3696.5833333333335
2018-09-13,3756.4166666666665
2018-09-14,3212.9166666666665
2018-09-15,1943.8333333333333
2018-09-16,1945.5833333333333
2018-09-17,3389.9166666666665
2018-09-18,3636.5
2018-09-19,3443.1666666666665
2018-09-20,3043.25
2018-09-21,3270.75
2018-09-22,1949.1666666666663
2018-09-23,1952.8333333333333
2018-09-24,3469.2954545454545
2018-09-25,3696.0
2018-09-26,3738.5
2018-09-27,3656.4166666666665
2018-09-28,3521.333333333333
2018-09-29,2118.083333333333
2018-09-30,1923.75
2018-10-01,3466.0
2018-10-02,3503.583333333333
2018-10-03,3786.6666666666665
2018-10-04,3635.3333333333335
2018-10-05,3528.659090909091
2018-10-06,2107.6666666666665
2018-10-07,1796.0833333333333
2018-10-08,3524.2
2018-10-09,3630.0
2018-10-10,3840.0833333333335
2018-10-11,3601.083333333333
2018-10-12,3424.1666666666665
2018-10-13,1639.0833333333333
2018-10-14,2061.333333333333
2018-10-15,3490.0
2018-10-16,3633.25
2018-10-17,3583.4166666666665
2018-10-18,3713.75
2018-10-19,3498.6666666666665
2018-10-20,1981.0
2018-10-21,1741.9166666666663
2018-10-22,3515.6666666666665
2018-10-23,3639.6666666666665
2018-10-24,3671.6666666666665
2018-10-25,3720.1666666666665
2018-10-26,3340.083333333333
2018-10-27,1906.0833333333333
2018-10-28,1650.75
2018-10-29,1777.8939393939395
2018-10-30,3151.0
2018-10-31,3356.49191919192
2018-11-01,3523.849747474748
2018-11-02,3269.278787878788
2018-11-03,1873.4089466089465
2018-11-04,1736.1252525252523
2018-11-05,3117.801515151515
2018-11-06,3399.1666666666665
2018-11-07,3239.75
2018-11-08,3501.75
2018-11-09,3042.6666666666665
2018-11-10,2030.3333333333333
2018-11-11,1744.3333333333333
2018-11-12,3425.6666666666665
2018-11-13,3479.583333333333
2018-11-14,3480.833333333333
2018-11-15,3680.75
2018-11-16,3470.1666666666665
2018-11-17,2145.1666666666665
2018-11-18,1881.25
2018-11-19,3263.5
2018-11-20,3195.083333333333
2018-11-21,2835.6666666666665
2018-11-22,3527.083333333333
2018-11-23,3457.9166666666665
2018-11-24,1968.0
2018-11-25,1794.8333333333333
2018-11-26,3182.6666666666665
2018-11-27,2821.583333333333
2018-11-28,3351.25
2018-11-29,3417.6666666666665
2018-11-30,3339.2727272727275
2018-12-01,1723.3333333333333
2018-12-02,1710.6666666666663
2018-12-03,3377.333333333333
2018-12-04,3404.75
2018-12-05,3313.4166666666665
2018-12-06,3476.75
2018-12-07,3113.583333333333
2018-12-08,1651.0833333333333
2018-12-09,1598.25
2018-12-10,3094.75
2018-12-11,3406.5
2018-12-12,3405.25
2018-12-13,3348.6666666666665
2018-12-14,3074.583333333333
2018-12-15,1431.2954545454545
2018-12-16,1699.3333333333333
2018-12-17,3052.9166666666665
2018-12-18,3278.25
2018-12-19,3520.4166666666665
2018-12-20,3331.9166666666665
2018-12-21,2998.6666666666665
2018-12-22,1914.0833333333333
2018-12-23,1281.8333333333333
2018-12-24,1746.1666666666663
2018-12-25,744.1666666666666
2018-12-26,994.9166666666669
2018-12-27,1671.8333333333333
2018-12-28,1837.5
2018-12-29,1565.1666666666667
2018-12-30,1615.1666666666663
2018-12-31,1927.4166666666663
2019-01-01,1166.3333333333333
2019-01-02,2848.151515151515
2019-01-03,3235.083333333333
2019-01-04,3102.333333333333
2019-01-05,1853.5833333333333
2019-01-06,1794.0833333333333
2019-01-07,3227.25
2019-01-08,3411.0
2019-01-09,3504.035547785548
2019-01-10,3412.583333333333
2019-01-11,3334.0
2019-01-12,1902.3333333333333
2019-01-13,1619.9166666666667
2019-01-14,3369.75
2019-01-15,3578.5
2019-01-16,3500.9166666666665
2019-01-17,3504.083333333333
2019-01-18,3421.25
2019-01-19,1845.6666666666663
2019-01-20,1589.5
2019-01-21,3146.1666666666665
2019-01-22,3403.833333333333
2019-01-23,3496.25
2019-01-24,3357.9166666666665
2019-01-25,3379.333333333333
2019-01-26,1708.9999999999998
2019-01-27,1532.8333333333333
2019-01-28,3105.1666666666665
2019-01-29,3330.6666666666665
2019-01-30,3452.6666666666665
2019-01-31,3094.333333333333
2019-02-01,3263.6666666666665
2019-02-02,1875.0833333333333
2019-02-03,1538.75
2019-02-04,3034.9166666666665
2019-02-05,3393.6666666666665
